raw,normalized
Emirates,United Arab Emirates
Arabia,Saudi Arabia
USA,United States
UAE,United Arab Emirates
U.S.A.,United States
U.S.,United States
US,United States
America,United States
People's,China
Korea,South Korea
England,United Kingdom
Scotland,United Kingdom
Wales,United Kingdom
TR,Turkey
Türkiye,Turkey
Turkiye,Turkey
China,China
Japan,Japan
Pakistan,Pakistan
Malaysia,Malaysia
Poland,Poland
Netherlands,Netherlands
Germany,Germany
France,France
Italy,Italy
Spain,Spain
Russia,Russia
Federation,Russia
federation,Russia
Ukraine,Ukraine
Kosovo,Kosovo
Congo,Democratic Republic of the Congo
DRC,Democratic Republic of the Congo
Cote,Côte d'Ivoire
Ivoire,Côte d'Ivoire
d'Ivoire,Côte d'Ivoire
Côte,Côte d'Ivoire
Finland,Finland
Austria,Austria
Belgium,Belgium
Switzerland,Switzerland
Denmark,Denmark
Sweden,Sweden
Norway,Norway
Greece,Greece
Hellas,Greece
Hellenic,Greece
Israel,Israel
Cyprus,Cyprus
Lithuania,Lithuania
Hungary,Hungary
Tunisia,Tunisia
Serbia,Serbia
Qatar,Qatar
Chile,Chile
Argentina,Argentina
Brazil,Brazil
Mexico,Mexico
Colombia,Colombia
Venezuela,Venezuela
Macedonia,North Macedonia
Kingdom,United Kingdom
Herzegovina,Bosnia and Herzegovina
Lanka, Sri Lanka
Republic,Czech Republic
Africa,South Africa
Zealand,New Zealand
Rica,Costa Rica

